     品名                            单价(进价)       数量
1.   锦袋14*14(全15*18)               2               10
2.   喜糖绣花袋12*13(全12.5*17)       4               10
3.   18*5*15绣花包                    3.5             15
4.   14*15珠宝首饰袋(全16*23)         2               10
5.   12*9.5加厚锦囊袋锦               3.5             3
6.   12*16玫紫色加厚零钱包            3.5             3
7.   7*19梳子袋                       4               10
8.   12*14素色棉麻锦囊袋(可用11*11)   2.3             10
9.   12*13首饰袋(全12.5*17)           4               5
10.  14*15蓝色绒布袋(全14*21)         3               2
11.  14*14锦囊袋(全15*18)             4.3             10
12.  13*13.5单层棉麻小布袋(全13.5*20) 2               10
13.  11*11锦袋(全11.5*14)             2.2             10
